System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(NNO) rhol rhos viscosity aH2O chisqr
15 4000.00 1358.00 100.001636 1.0000000000000000 1.000000 -1195782.681507 305.645258 40.304855 155.601072 -497.990663 5405.513702 -5.924 0.000 2.481131 0.000000 0.937 n/a n/a
16 7000.00 1355.00 99.986232 1.0000000000000000 1.000000 -1186634.795955 303.797224 39.068394 155.336197 -313.594762 4819.432146 -5.952 0.000 2.559261 0.000000 0.946 n/a n/a
7 1000.00 1382.00 100.018955 0.9956711221846056 0.923685 -1201579.832161 309.850994 44.875555 156.029459 -3934.389018 8127.969260 -5.702 0.000 2.402507 0.126426 0.958 n/a n/a
16 4000.00 1355.00 100.001668 1.0000000000000000 1.000000 -1196249.916720 305.358898 40.288668 155.595278 -497.239891 5404.189773 -5.952 0.000 2.482129 0.000000 0.946 n/a n/a
17 7000.00 1352.00 99.986247 1.0000000000000000 1.000000 -1187100.991608 303.510783 39.053949 155.327705 -313.190066 4818.565669 -5.980 0.000 2.560208 0.000000 0.956 n/a n/a
8 1000.00 1379.00 100.018995 0.9956895744541210 0.924106 -1202049.200589 309.567581 44.840199 156.026467 -3913.543863 8120.771013 -5.729 0.000 2.403350 0.126686 0.967 n/a n/a
17 4000.00 1352.00 100.001703 1.0000000000000000 1.000000 -1196717.157470 305.072025 40.272488 155.589505 -496.489631 5402.848303 -5.980 0.000 2.483127 0.000000 0.956 n/a n/a
18 7000.00 1349.00 99.986263 1.0000000000000000 1.000000 -1187567.181952 303.223831 39.039508 155.319243 -312.785876 4817.681769 -6.008 0.000 2.561156 0.000000 0.965 n/a n/a
18 4000.00 1349.00 100.001739 1.0000000000000000 1.000000 -1197184.404042 304.784635 40.256312 155.583752 -495.739883 5401.489299 -6.008 0.000 2.484126 0.000000 0.965 n/a n/a
19 7000.00 1346.00 99.986281 1.0000000000000000 1.000000 -1188033.367276 302.936367 39.025071 155.310811 -312.382193 4816.780453 -6.037 0.000 2.562104 0.000000 0.974 n/a n/a
9 1000.00 1376.00 100.019037 0.9957081125090876 0.924529 -1202518.587558 309.283661 44.804838 156.023483 -3892.685263 8113.517716 -5.757 0.000 2.404192 0.126948 0.976 n/a n/a
19 10000.00 1346.00 99.972506 1.0000000000000000 1.000000 -1178526.041587 301.504513 38.305734 155.130204 -165.889141 4578.379466 -6.037 0.000 2.609858 0.000000 0.974 n/a n/a
20 7000.00 1343.00 99.986300 1.0000000000000000 1.000000 -1188499.547868 302.648389 39.010638 155.302409 -311.979019 4815.861724 -6.066 0.000 2.563052 0.000000 0.983 n/a n/a
10 1000.00 1373.00 100.019080 0.9957267368462447 0.924953 -1202987.993341 308.999230 44.769472 156.020507 -3871.813221 8106.208957 -5.784 0.000 2.405036 0.127211 0.984 n/a n/a
20 10000.00 1343.00 99.972509 1.0000000000000000 1.000000 -1178991.455737 301.216834 38.292001 155.118989 -165.831743 4577.933382 -6.066 0.000 2.610794 0.000000 0.983 n/a n/a
21 7000.00 1340.00 99.986321 1.0000000000000000 1.000000 -1188965.724021 302.359895 38.996209 155.294038 -311.576353 4814.925591 -6.094 0.000 2.564001 0.000000 0.992 n/a n/a
11 1000.00 1370.00 100.019125 0.9957454479655610 0.925377 -1203457.418210 308.714289 44.734101 156.017539 -3850.927737 8098.844323 -5.812 0.000 2.405879 0.127476 0.993 n/a n/a
21 10000.00 1340.00 99.972514 1.0000000000000000 1.000000 -1179456.854458 300.928645 38.278272 155.107814 -165.774848 4577.469972 -6.094 0.000 2.611730 0.000000 0.992 n/a n/a
22 7000.00 1337.00 99.986344 1.0000000000000000 1.000000 -1189431.896030 302.070882 38.981783 155.285697 -311.174197 4813.972057 -6.123 0.000 2.564950 0.000000 1.002 n/a n/a
22 4000.00 1337.00 100.001899 1.0000000000000000 1.000000 -1199053.454349 303.629879 40.191666 155.560943 -492.746030 5395.878030 -6.123 0.000 2.488125 0.000000 1.002 n/a n/a
23 7000.00 1334.00 99.986367 1.0000000000000000 1.000000 -1189898.064191 301.781349 38.967362 155.277386 -310.772550 4813.001129 -6.152 0.000 2.565900 0.000000 1.011 n/a n/a
23 4000.00 1334.00 100.001944 1.0000000000000000 1.000000 -1199520.734405 303.339880 40.175519 155.555292 -491.998856 5394.431425 -6.152 0.000 2.489126 0.000000 1.011 n/a n/a
24 7000.00 1331.00 99.986393 1.0000000000000000 1.000000 -1190364.228805 301.491294 38.952945 155.269106 -310.371415 4812.012813 -6.181 0.000 2.566851 0.000000 1.020 n/a n/a
12 1000.00 1367.00 100.019172 0.9957642463701634 0.925803 -1203926.862442 308.428833 44.698725 156.014580 -3830.028816 8091.423394 -5.840 0.000 2.406723 0.127742 1.002 n/a n/a
24 10000.00 1331.00 99.972535 1.0000000000000000 1.000000 -1180852.961046 300.060992 38.237097 155.074530 -165.607191 4575.975852 -6.181 0.000 2.614543 0.000000 1.020 n/a n/a
25 7000.00 1328.00 99.986420 1.0000000000000000 1.000000 -1190830.390174 301.200714 38.938533 155.260857 -309.970792 4811.007115 -6.210 0.000 2.567801 0.000000 1.030 n/a n/a
25 10000.00 1328.00 99.972544 1.0000000000000000 1.000000 -1181318.301057 299.770739 38.223377 155.063517 -165.552317 4575.443203 -6.210 0.000 2.615482 0.000000 1.030 n/a n/a
26 7000.00 1325.00 99.986448 1.0000000000000000 1.000000 -1191296.548603 300.909608 38.924124 155.252637 -309.570681 4809.984040 -6.239 0.000 2.568753 0.000000 1.039 n/a n/a
13 1000.00 1364.00 100.019221 0.9957831325663535 0.926229 -1204396.326318 308.142863 44.663345 156.011628 -3809.116461 8083.945744 -5.868 0.000 2.407567 0.128009 1.011 n/a n/a
26 10000.00 1325.00 99.972556 1.0000000000000000 1.000000 -1181783.627154 299.479965 38.209660 155.052544 -165.497950 4574.893261 -6.239 0.000 2.616421 0.000000 1.039 n/a n/a
27 7000.00 1322.00 99.986478 1.0000000000000000 1.000000 -1191762.704399 300.617973 38.909720 155.244449 -309.171083 4808.943595 -6.269 0.000 2.569704 0.000000 1.048 n/a n/a
27 10000.00 1322.00 99.972568 1.0000000000000000 1.000000 -1182248.939644 299.188669 38.195946 155.041611 -165.444091 4574.326031 -6.269 0.000 2.617361 0.000000 1.048 n/a n/a
28 7000.00 1319.00 99.986510 1.0000000000000000 1.000000 -1192228.857873 300.325809 38.895320 155.236291 -308.771999 4807.885787 -6.298 0.000 2.570657 0.000000 1.058 n/a n/a
14 1000.00 1361.00 100.019272 0.9958021070636257 0.926657 -1204865.810118 307.856375 44.627961 156.008685 -3788.190678 8076.410944 -5.896 0.000 2.408412 0.128277 1.019 n/a n/a
28 4000.00 1319.00 100.002193 1.0000000000000000 1.000000 -1201857.254705 301.881928 40.094871 155.527347 -488.270761 5386.935922 -6.298 0.000 2.494139 0.000000 1.058 n/a n/a
29 7000.00 1316.00 99.986543 1.0000000000000000 1.000000 -1192695.009337 300.033111 38.880925 155.228163 -308.373430 4806.810620 -6.328 0.000 2.571609 0.000000 1.067 n/a n/a
15 1000.00 1358.00 100.019325 0.9958211703746511 0.927085 -1205335.314128 307.569368 44.592572 156.005750 -3767.251474 8068.818560 -5.924 0.000 2.409256 0.128547 1.028 n/a n/a
29 4000.00 1316.00 100.002248 1.0000000000000000 1.000000 -1202324.584948 301.588732 40.078760 155.521820 -487.526704 5385.384364 -6.328 0.000 2.495143 0.000000 1.067 n/a n/a
30 7000.00 1313.00 99.986578 1.0000000000000000 1.000000 -1193161.159109 299.739879 38.866534 155.220067 -307.975377 4805.718103 -6.357 0.000 2.572562 0.000000 1.077 n/a n/a
31 7000.00 1310.00 99.986614 1.0000000000000000 1.000000 -1193627.307506 299.446110 38.852148 155.212001 -307.577841 4804.608240 -6.387 0.000 2.573516 0.000000 1.087 n/a n/a
30 10000.00 1313.00 99.972614 1.0000000000000000 1.000000 -1183644.798609 298.311621 38.154820 155.009056 -165.285565 4572.520688 -6.357 0.000 2.620183 0.000000 1.077 n/a n/a
16 1000.00 1355.00 100.019379 0.9958403230153026 0.927515 -1205804.838635 307.281840 44.557179 156.002823 -3746.298854 8061.168152 -5.952 0.000 2.410102 0.128818 1.037 n/a n/a
32 7000.00 1307.00 99.986653 1.0000000000000000 1.000000 -1194093.454850 299.151802 38.837766 155.203966 -307.180822 4803.481039 -6.417 0.000 2.574470 0.000000 1.096 n/a n/a
31 10000.00 1310.00 99.972632 1.0000000000000000 1.000000 -1184110.059817 298.018212 38.141117 154.998286 -165.233743 4571.884378 -6.387 0.000 2.621125 0.000000 1.087 n/a n/a
33 7000.00 1304.00 99.986692 1.0000000000000000 1.000000 -1194559.601466 298.856954 38.823390 155.195961 -306.784321 4802.336506 -6.447 0.000 2.575424 0.000000 1.106 n/a n/a
32 10000.00 1307.00 99.972652 1.0000000000000000 1.000000 -1184575.309001 297.724269 38.127417 154.987557 -165.182433 4571.230815 -6.417 0.000 2.622067 0.000000 1.096 n/a n/a
17 1000.00 1352.00 100.019435 0.9958595655046312 0.927945 -1206274.383932 306.993788 44.521781 155.999904 -3725.332828 8053.459273 -5.980 0.000 2.410947 0.129090 1.046 n/a n/a
34 7000.00 1301.00 99.986734 1.0000000000000000 1.000000 -1195025.747681 298.561562 38.809017 155.187988 -306.388340 4801.174648 -6.477 0.000 2.576379 0.000000 1.116 n/a n/a
33 4000.00 1304.00 100.002488 1.0000000000000000 1.000000 -1204194.003865 300.410523 40.014377 155.499924 -484.555711 5379.003453 -6.447 0.000 2.499164 0.000000 1.106 n/a n/a
35 7000.00 1298.00 99.986777 1.0000000000000000 1.000000 -1195491.893825 298.265625 38.794650 155.180046 -305.992878 4799.995472 -6.507 0.000 2.577334 0.000000 1.125 n/a n/a
34 10000.00 1301.00 99.972696 1.0000000000000000 1.000000 -1185505.772600 297.134776 38.100026 154.966220 -165.081349 4569.871960 -6.477 0.000 2.623953 0.000000 1.116 n/a n/a
18 1000.00 1349.00 100.019493 0.9958788983647953 0.928376 -1206743.950310 306.705212 44.486380 155.996993 -3704.353406 8045.691474 -6.008 0.000 2.411793 0.129364 1.055 n/a n/a
36 7000.00 1295.00 99.986822 1.0000000000000000 1.000000 -1195958.040232 297.969140 38.780287 155.172135 -305.597937 4798.798983 -6.538 0.000 2.578290 0.000000 1.135 n/a n/a
35 4000.00 1298.00 100.002619 1.0000000000000000 1.000000 -1205128.776709 299.818135 39.982224 155.489102 -483.073369 5375.708270 -6.507 0.000 2.501177 0.000000 1.125 n/a n/a
37 7000.00 1292.00 99.986868 1.0000000000000000 1.000000 -1196424.187239 297.672106 38.765930 155.164254 -305.203518 4797.585190 -6.568 0.000 2.579246 0.000000 1.145 n/a n/a
19 1000.00 1346.00 100.019554 0.9958983221215567 0.928809 -1207213.538068 306.416109 44.450975 155.994091 -3683.360597 8037.864299 -6.037 0.000 2.412639 0.129640 1.064 n/a n/a
36 4000.00 1295.00 100.002687 1.0000000000000000 1.000000 -1205596.180156 299.521113 39.966157 155.483724 -482.332990 5374.034517 -6.538 0.000 2.502184 0.000000 1.135 n/a n/a
38 7000.00 1289.00 99.986917 1.0000000000000000 1.000000 -1196890.335186 297.374521 38.751577 155.156405 -304.809621 4796.354099 -6.599 0.000 2.580203 0.000000 1.155 n/a n/a
37 10000.00 1292.00 99.972772 1.0000000000000000 1.000000 -1186901.386011 296.246482 38.058963 154.934521 -164.933577 4567.704461 -6.568 0.000 2.626787 0.000000 1.145 n/a n/a
37 4000.00 1292.00 100.002757 1.0000000000000000 1.000000 -1206063.595411 299.223535 39.950096 155.478367 -481.593140 5372.343330 -6.568 0.000 2.503192 0.000000 1.145 n/a n/a
39 7000.00 1286.00 99.986967 1.0000000000000000 1.000000 -1197356.484414 297.076381 38.737229 155.148588 -304.416248 4795.105717 -6.629 0.000 2.581159 0.000000 1.165 n/a n/a
38 10000.00 1289.00 99.972801 1.0000000000000000 1.000000 -1187366.569953 295.949294 38.045282 154.924037 -164.885350 4566.947534 -6.599 0.000 2.627732 0.000000 1.155 n/a n/a
20 1000.00 1343.00 100.019615 0.9959178373032384 0.929242 -1207683.147505 306.126476 44.415567 155.991197 -3662.354415 8029.977286 -6.066 0.000 2.413486 0.129916 1.073 n/a n/a
38 4000.00 1289.00 100.002830 1.0000000000000000 1.000000 -1206531.022822 298.925400 39.934043 155.473031 -480.853821 5370.634717 -6.599 0.000 2.504200 0.000000 1.155 n/a n/a
40 7000.00 1283.00 99.987019 1.0000000000000000 1.000000 -1197822.635272 296.777685 38.722887 155.140801 -304.023399 4793.840052 -6.660 0.000 2.582117 0.000000 1.175 n/a n/a
39 10000.00 1286.00 99.972831 1.0000000000000000 1.000000 -1187831.744196 295.651558 38.031605 154.913594 -164.837641 4566.173406 -6.629 0.000 2.628678 0.000000 1.165 n/a n/a
39 4000.00 1286.00 100.002904 1.0000000000000000 1.000000 -1206998.462742 298.626706 39.917996 155.467716 -480.115033 5368.908682 -6.629 0.000 2.505209 0.000000 1.165 n/a n/a
41 7000.00 1280.00 99.987072 1.0000000000000000 1.000000 -1198288.788108 296.478430 38.708549 155.133046 -303.631076 4792.557110 -6.691 0.000 2.583075 0.000000 1.185 n/a n/a
40 10000.00 1283.00 99.972863 1.0000000000000000 1.000000 -1188296.909082 295.353271 38.017931 154.903192 -164.790448 4565.382084 -6.660 0.000 2.629624 0.000000 1.175 n/a n/a
21 1000.00 1340.00 100.019679 0.9959374444417924 0.929676 -1208152.778923 305.836312 44.380155 155.988312 -3641.334872 8022.029968 -6.094 0.000 2.414333 0.130194 1.082 n/a n/a
40 4000.00 1283.00 100.002980 1.0000000000000000 1.000000 -1207465.915527 298.327449 39.901956 155.462424 -479.376777 5367.165232 -6.660 0.000 2.506217 0.000000 1.175 n/a n/a
42 7000.00 1277.00 99.987127 1.0000000000000000 1.000000 -1198754.943274 296.178615 38.694217 155.125322 -303.239279 4791.256899 -6.722 0.000 2.584033 0.000000 1.195 n/a n/a
41 10000.00 1280.00 99.972896 1.0000000000000000 1.000000 -1188762.064957 295.054432 38.004260 154.892831 -164.743775 4564.573576 -6.691 0.000 2.630571 0.000000 1.185 n/a n/a
41 4000.00 1280.00 100.003059 1.0000000000000000 1.000000 -1207933.381535 298.027629 39.885923 155.457153 -478.639055 5365.404374 -6.691 0.000 2.507227 0.000000 1.185 n/a n/a
43 7000.00 1274.00 99.987185 1.0000000000000000 1.000000 -1199221.101128 295.878237 38.679890 155.117630 -302.848009 4789.939426 -6.753 0.000 2.584991 0.000000 1.205 n/a n/a
22 1000.00 1337.00 100.019745 0.9959571440722496 0.930111 -1208622.432629 305.545616 44.344739 155.985434 -3620.301983 8014.021872 -6.123 0.000 2.415180 0.130474 1.091 n/a n/a
44 7000.00 1271.00 99.987244 1.0000000000000000 1.000000 -1199687.262029 295.577294 38.665568 155.109969 -302.457268 4788.604699 -6.785 0.000 2.585950 0.000000 1.215 n/a n/a
43 4000.00 1274.00 100.003221 1.0000000000000000 1.000000 -1208868.354679 297.426287 39.853877 155.446676 -477.165215 5361.830457 -6.753 0.000 2.509247 0.000000 1.205 n/a n/a
45 7000.00 1268.00 99.987304 1.0000000000000000 1.000000 -1200153.426340 295.275784 38.651252 155.102340 -302.067055 4787.252725 -6.816 0.000 2.586910 0.000000 1.225 n/a n/a
42 10000.00 1277.00 99.972813 0.9959901506952091 0.996705 -1189391.713193 294.647677 37.974334 154.729678 -164.306741 4558.945629 -6.722 0.000 2.630753 3.204112 1.195 n/a n/a

46 7000.00 1265.00 99.987367 1.0000000000000000 1.000000 -1200619.594428 294.973703 38.636941 155.094743 -301.677373 4785.883513 -6.848 0.000 2.587870 0.000000 1.235 n/a n/a

47 7000.00 1262.00 99.987431 1.0000000000000000 1.000000 -1201085.766663 294.671051 38.622636 155.087177 -301.288222 4784.497069 -6.879 0.000 2.588830 0.000000 1.245 n/a n/a

24 1000.00 1331.00 100.019883 0.9959968229649707 0.930984 -1209561.808143 304.962615 44.273899 155.979705 -3578.196234 7997.821431 -6.181 0.000 2.416875 0.131037 1.109 n/a n/a
46 4000.00 1265.00 100.003481 1.0000000000000000 1.000000 -1210270.922783 296.519988 39.805862 155.431126 -474.958482 5356.339176 -6.848 0.000 2.512280 0.000000 1.235 n/a n/a
48 7000.00 1259.00 99.987498 1.0000000000000000 1.000000 -1201551.943419 294.367824 38.608336 155.079643 -300.899603 4783.093402 -6.911 0.000 2.589790 0.000000 1.255 n/a n/a
47 4000.00 1262.00 100.003572 1.0000000000000000 1.000000 -1210738.475901 296.216736 39.789871 155.425987 -474.223983 5354.474001 -6.879 0.000 2.513292 0.000000 1.245 n/a n/a
49 7000.00 1256.00 99.987566 1.0000000000000000 1.000000 -1202018.125074 294.064021 38.594041 155.072141 -300.511517 4781.672520 -6.943 0.000 2.590751 0.000000 1.266 n/a n/a
43 10000.00 1280.00 99.972896 1.0000000000000000 1.000000 -1188762.064957 295.054432 38.004260 154.892831 -164.743775 4564.573576 -6.691 0.000 2.630571 0.000000 1.185 n/a n/a
25 1000.00 1328.00 100.019955 0.9960168033132509 0.931422 -1210031.530579 304.670307 44.238474 155.976853 -3557.123408 7989.628111 -6.210 0.000 2.417723 0.131321 1.118 n/a n/a
48 4000.00 1259.00 100.003664 1.0000000000000000 1.000000 -1211206.044871 295.912904 39.773888 155.420871 -473.490025 5352.591463 -6.911 0.000 2.514304 0.000000 1.255 n/a n/a
50 7000.00 1253.00 99.987636 1.0000000000000000 1.000000 -1202484.312010 293.759638 38.579753 155.064671 -300.123965 4780.234431 -6.975 0.000 2.591713 0.000000 1.276 n/a n/a
44 10000.00 1279.00 99.972907 1.0000000000000000 1.000000 -1188917.114973 294.954695 37.999704 154.889386 -164.728332 4564.300256 -6.702 0.000 2.630886 0.000000 1.188 n/a n/a
49 4000.00 1256.00 100.003759 1.0000000000000000 1.000000 -1211673.630083 295.608490 39.757912 155.415776 -472.756608 5350.691569 -6.943 0.000 2.515317 0.000000 1.266 n/a n/a
51 7000.00 1250.00 99.987708 1.0000000000000000 1.000000 -1202950.504612 293.454675 38.565470 155.057233 -299.736949 4778.779142 -7.007 0.000 2.592674 0.000000 1.286 n/a n/a
45 10000.00 1278.00 99.972919 1.0000000000000000 1.000000 -1189072.164040 294.854897 37.995148 154.885946 -164.712947 4564.025027 -6.712 0.000 2.631202 0.000000 1.191 n/a n/a
50 4000.00 1253.00 100.003857 1.0000000000000000 1.000000 -1212141.231935 295.303490 39.741943 155.410704 -472.023735 5348.774327 -6.975 0.000 2.516330 0.000000 1.276 n/a n/a

52 7000.00 1247.00 99.987782 1.0000000000000000 1.000000 -1203416.703269 293.149127 38.551193 155.049828 -299.350468 4777.306663 -7.040 0.000 2.593637 0.000000 1.297 n/a n/a
51 4000.00 1250.00 100.003956 1.0000000000000000 1.000000 -1212608.850826 294.997904 39.725982 155.405655 -471.291407 5346.839742 -7.007 0.000 2.517344 0.000000 1.286 n/a n/a
53 7000.00 1244.00 99.987858 1.0000000000000000 1.000000 -1203882.908374 292.842993 38.536921 155.042454 -298.964525 4775.817002 -7.072 0.000 2.594599 0.000000 1.307 n/a n/a
52 4000.00 1247.00 100.004057 1.0000000000000000 1.000000 -1213076.487162 294.691729 39.710028 155.400628 -470.559624 5344.887822 -7.040 0.000 2.518358 0.000000 1.297 n/a n/a
54 7000.00 1241.00 99.987936 1.0000000000000000 1.000000 -1204349.120325 292.536271 38.522656 155.035113 -298.579121 4774.310167 -7.105 0.000 2.595562 0.000000 1.318 n/a n/a
27 1000.00 1322.00 100.020104 0.9960570485525393 0.932301 -1210971.046402 304.084065 44.167617 155.971174 -3514.937959 7973.052794 -6.269 0.000 2.419421 0.131893 1.137 n/a n/a
46 10000.00 1277.00 99.972813 0.9959901506950134 0.996705 -1189391.713193 294.647677 37.974334 154.729678 -164.306741 4558.945629 -6.722 0.000 2.630753 3.204112 1.195 n/a n/a
55 7000.00 1238.00 99.988016 1.0000000000000000 1.000000 -1204815.339523 292.228957 38.508397 155.027804 -298.194256 4772.786166 -7.137 0.000 2.596525 0.000000 1.328 n/a n/a
54 4000.00 1241.00 100.004267 1.0000000000000000 1.000000 -1214011.813813 294.077599 39.678144 155.390642 -469.097700 5340.932008 -7.105 0.000 2.520387 0.000000 1.318 n/a n/a
55 4000.00 1238.00 100.004376 1.0000000000000000 1.000000 -1214479.504960 293.769641 39.662213 155.385684 -468.367561 5338.928128 -7.137 0.000 2.521402 0.000000 1.328 n/a n/a
28 1000.00 1319.00 100.020182 0.9960773145485685 0.932742 -1211440.840437 303.790126 44.132184 155.968347 -3493.825379 7964.669787 -6.298 0.000 2.420270 0.132182 1.146 n/a n/a
56 4000.00 1235.00 100.004486 1.0000000000000000 1.000000 -1214947.215220 293.461083 39.646291 155.380749 -467.637973 5336.906943 -7.170 0.000 2.522417 0.000000 1.339 n/a n/a
47 10000.00 1278.00 99.972851 0.9976592129794838 0.998077 -1189168.301612 294.792185 37.985654 154.796727 -164.484725 4561.221107 -6.712 0.000 2.630756 3.203661 1.191 n/a n/a
56 7000.00 1235.00 99.987644 0.9972950442925695 0.997832 -1205399.382356 291.837777 38.488758 154.874782 -297.696400 4767.212676 -7.170 0.000 2.596441 3.241842 1.344 n/a n/a
29 1000.00 1316.00 100.020262 0.9960976768709895 0.933184 -1211910.658991 303.495641 44.096749 155.965529 -3472.699596 7956.222533 -6.328 0.000 2.421119 0.132472 1.155 n/a n/a
